CarParkID,CarParkName_Zh_tw,TotalSpaces,AvailableSpaces,Availabilities_SpaceType,Availabilities_NumberOfSpaces,Availabilities_AvailableSpaces,ServiceStatus,FullStatus,ChargeStatus,DataCollectTime
22763918+15001,花蓮市三民停車場,55,48,1,55,48,1,0,1,2023-11-19T20:38:59+08:00
28984733+15002,花蓮遠東百貨停車場,929,735,1,929,735,1,0,1,2023-11-19T20:38:59+08:00
80118614+15003,財團法人佛教慈濟綜合醫院花蓮院區附設停車場,300,111,1,300,111,1,0,1,2023-11-19T20:38:59+08:00
53297327+15004,仁里立體停車場,183,0,1,183,0,1,0,1,2023-11-19T20:38:59+08:00
53599694+15005,花蓮文化創意產業園區停車場,0,0,1,0,0,1,0,1,2023-11-19T20:38:59+08:00
10614013+15006,多功能停車場,47,11,1,47,11,1,0,1,2023-11-19T20:38:59+08:00
85051937+15007,中山明智停車場,0,0,1,0,0,1,0,1,2023-11-19T20:38:59+08:00
80118614+15008,永發停車場-東洋站,235,178,1,235,178,1,0,1,2023-11-19T20:38:59+08:00
58019180+15009,明心停車場,80,40,1,80,40,1,0,1,2023-11-19T20:38:59+08:00
58019180+15010,仁愛停車場,133,49,1,133,49,1,0,1,2023-11-19T20:38:59+08:00
82182231+15011,花蓮市 PP 停車場,62,46,1,62,46,1,0,1,2023-11-19T20:38:59+08:00
37993678+15012,彪吉利(花蓮停三)汽(紅黃牌重機)停車場,51,30,1,51,30,1,0,1,2023-11-19T20:38:59+08:00
80118614+15013,成佳財停車場,210,169,1,210,169,1,0,1,2023-11-19T20:38:59+08:00
97329493+15014,東大門一二場,330,326,1,330,326,1,0,1,2023-11-19T20:38:59+08:00
52882567+15015,新港街停車場,27,3,1,27,3,1,0,1,2023-11-19T20:38:59+08:00
86711789+15016,尚志橋停車場,120,59,1,120,59,1,0,1,2023-11-19T20:38:59+08:00
13124285+15017,明禮路停車場,106,0,1,106,0,1,0,1,2023-11-19T20:38:59+08:00
37993678+15018,彪吉利停車場(國聯五路站),40,15,1,40,15,1,0,1,2023-11-19T20:38:59+08:00
37993678+15019,前站停車場(檳榔攤),70,5,1,70,5,1,0,1,2023-11-19T20:38:59+08:00
80118614+15020,後火車站機車停車場,340,104,1,340,104,1,0,1,2023-11-19T20:38:59+08:00
37993678+15021,彪吉利(花蓮停四)機車停車場,0,0,1,0,0,1,0,1,2023-11-19T20:38:59+08:00
80738683+15022,花蓮醫院停車場(有3層樓),50,36,1,50,36,1,0,1,2023-11-19T20:38:59+08:00
94607424+15023,財團法人臺灣基督教門諾會醫院(00:30~06:30非營業時間),235,156,1,235,156,1,0,1,2023-11-19T20:38:59+08:00
42958475+15024,建程停車場,121,60,1,121,60,1,0,1,2023-11-19T20:38:59+08:00
87344137+15025,停好車停車場,37,21,1,37,21,1,0,1,2023-11-19T20:38:59+08:00
85056975+15026,東芥東大門停車場,161,153,1,161,153,1,0,1,2023-11-19T20:38:59+08:00
86711789+15027,尚志橋停車場,111,0,1,111,0,1,0,1,2023-11-19T20:38:59+08:00
97329493+15028,東大門三場,83,82,1,83,82,1,0,1,2023-11-19T20:38:59+08:00
90831316+15030,統冠重慶站停車場,49,10,1,49,10,1,0,1,2023-11-19T20:38:59+08:00
ggyy+15032,TEST_VD_LIVE,0,0,1,0,0,1,0,1,2023-11-19T20:38:59+08:00
86711789+15033,富裕街停車場,55,22,1,55,22,1,0,1,2023-11-19T20:38:59+08:00
86711789+15034,商校街停車場,28,20,1,28,20,1,0,1,2023-11-19T20:38:59+08:00
86711789+15035,東里停車場,16,7,1,16,7,1,0,1,2023-11-19T20:38:59+08:00
095a,重平,54,26,1,54,26,1,1,1,2023-11-19T20:40:11+08:00
095b,重和,160,12,1,160,12,1,2,1,2023-11-19T20:40:11+08:00
100,華夏,36,18,1,36,18,1,0,1,2023-11-19T20:40:11+08:00
103,平和,46,-1,1,46,-1,1,-1,1,2023-11-19T20:40:11+08:00
105,曾子,37,23,1,37,23,1,0,1,2023-11-19T20:40:11+08:00
106,中崙,150,90,1,150,90,1,0,1,2023-11-19T20:40:11+08:00
107,鎮賢,23,3,1,23,3,1,2,1,2023-11-19T20:40:11+08:00
108,鎮興,65,10,1,65,10,1,2,1,2023-11-19T20:40:11+08:00
117,龍華,54,31,1,54,31,1,0,1,2023-11-19T20:40:11+08:00
118,三民二號公園,51,11,1,51,11,1,1,1,2023-11-19T20:40:11+08:00
120,獅甲,46,23,1,46,23,1,0,1,2023-11-19T20:40:11+08:00
125,廣三,9,-1,1,9,-1,1,-1,1,2023-11-19T20:40:11+08:00
128,八德大型車,79,-1,1,79,-1,1,-1,1,2023-11-19T20:40:11+08:00
135,臨海二路,12,9,1,12,9,1,0,1,2023-11-19T20:40:11+08:00
150,濱海,26,25,1,26,25,1,0,1,2023-11-19T20:40:11+08:00
290,公園路,346,104,1,346,104,1,1,1,2023-11-19T20:40:11+08:00
448,常德,30,7,1,30,7,1,1,1,2023-11-19T20:40:11+08:00
448a,都會公園,323,143,1,323,143,1,1,1,2023-11-19T20:40:11+08:00
449,立民,32,8,1,32,8,1,1,1,2023-11-19T20:40:11+08:00
457,田中央,28,-1,1,28,-1,1,-1,1,2023-11-19T20:40:11+08:00
458,竹後段,36,15,1,36,15,1,1,1,2023-11-19T20:40:11+08:00
459,大寮停二,174,121,1,174,121,1,0,1,2023-11-19T20:40:11+08:00
459a,仁德116,145,-1,1,145,-1,1,-1,1,2023-11-19T20:40:11+08:00
460,蚵仔寮（A區）,94,88,1,94,88,1,0,1,2023-11-19T20:40:11+08:00
460b,蚵仔寮（B區）,62,-1,1,62,-1,1,-1,1,2023-11-19T20:40:11+08:00
460c,蚵仔寮（C區）,6,-1,1,6,-1,1,-1,1,2023-11-19T20:40:11+08:00
465,左營站前,248,56,1,248,56,1,1,1,2023-11-19T20:40:11+08:00
