CarParkID,CarParkName_Zh_tw,EntranceExitType,EntranceExits_EntranceExitName_Zh_tw,EntranceExits_Position_PositionLat,EntranceExits_Position_PositionLon,EntranceExits_Type,EntranceExits_MaxAllowedHeight,EntranceExits_RoadID,EntranceExits_RoadName,EntranceExits_LinkID,EntranceExits_Bearing
10816,停14(蘭停八)停車場,1,雅竹路76號,23.47629,120.4728,1,,,大雅路,,SE
10906,垂楊國小地下停車場,1,垂楊國小地下停車場,23.47066,120.4391,1,,,上海路,,W
Cityparking1,嘉義成仁站停車場,1,嘉義市垂楊路256號,23.47441,120.4534,1,,,垂楊路,,E
10814,大同國小(西榮街)停車場,1,大同國小(西榮街)停車場,23.47412,120.4584,1,,,西榮街,,S
10909,市府大樓地下停車場,1,市府大樓地下停車場,23.48068,120.454,1,,640102I,民樂街,6401020200010I,E
10909A,市府前廣場停車場,1,市府前廣場停車場,23.48212,120.4542,1,,640165I,吳鳳北路,6401650000050I,N
11006A,西市場忠義街停車場,1,西市場忠義街停車場,23.47927,120.4473,1,,640183I,忠義街,6401830400040I,S
10904east,新生路停車場民國站,1,嘉義市東區民族路35-25,23.47693,120.46073,1,,,民族路,,W
10701east,嘉義中山停車場,1,嘉義市中山路248號,23.48025,120.45048,1,,640041I,中山路,6400410200000I,NE
10909B,舊市公所停車場,1,舊市公所停車場,23.47553,120.4471,1,,,民生北路,,S
10904Aeast,新生路停車場民族站,1,嘉義市東區民族路35-25,23.47679,120.46063,1,,640098I,民國路,6400980400080I,S
10504,文化公園(停6)停車場,1,國華街出入口、垂楊路出入口,23.47985,120.4247,1,,640300I,國華街,6403000000120I,N
10902east,檜村里(機6)停車場,1,嘉義市中山路346巷1號,23.48916,120.4547,1,,,忠孝路,,W
10801east,博物館地下停車場,1,忠孝路275之1號B1,23.48701,120.45141,1,,,無名,,NE
10820,民族國小地下停車場,1,民族國小地下停車場,23.47412,120.4584,1,,,垂楊路,,E
10904,德安停車場,1, 德安停車場,23.48391,120.43192,1,,,德安路,,E
10810,北港路(停9)停車場,1,北港路與友忠路口,23.47773,120.4342,1,,640083I,北港路,6400830700120I,NW
11010,嘉義蘭井街停車場,1,蘭井街372號對面,23.48611,120.42664,1,,640391I,廣寧街,6403910000010I,N
10721,中正公園地下停車場,1,民權路出入口,23.48192,120.44727,1,,,民權路,,W
10912east,嘉義東市停車場,1,嘉義東市停車場廿,23.47872,120.4534,1,,640165I,吳鳳北路,6401650000100I,N
10819,中央廣場地下停車場,1,中央廣場地下停車場,23.50612,120.4393,1,,,民權路,,E
