CarParkID,CarParkName_Zh_tw,Description,HourlyRates
10909,市府大樓地下停車場,平面式小型停車場261格(含婦幼停車位6格、身心障礙車位7格),"[{'RateName': '市府大樓地下停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10814,大同國小(西榮街)停車場,平面式小型停車場18格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '大同國小(西榮街)停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10904Aeast,新生路停車場民族站,平面式小型停車場139格,"[{'RateName': '平日', 'RateDescription': '平日：10元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 10, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日：20元/4hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 240, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10801east,博物館地下停車場,平面式小型停車場75格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '平日', 'RateDescription': '平日：20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日：30元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 30, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10721,中正公園地下停車場,平面式小型停車場129格(含婦幼停車位3格、身心障礙車位3格),"[{'RateName': '20元/1hr', 'RateDescription': '20元/1hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 60, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
DuDuhouse,吳鳳民族站,平面式小型停車場68格(含婦幼停車位3格、身心障礙車位2格),"[{'RateName': '平日', 'RateDescription': '平日:20元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 20, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日:25元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 25, 'MinHalfHourCharge': 0, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10912east,嘉義東市停車場,平面式小型停車場48格(含婦幼停車位1格、身心障礙車位1格),"[{'RateName': '平日', 'RateDescription': '平日半小時10元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 10, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日半小時15元', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10820,民族國小地下停車場,平面式小型停車場199格(含婦幼停車位3格、身心障礙車位4格),"[{'RateName': '民族國小地下停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10808,火車站前停車場,平面式小型停車場98格(含婦幼停車位2格、身心障礙車位2格),"[{'RateName': '火車站前停車場', 'RestrictionUserType': 0, 'SpaceType': 1, 'FreeMaxStay': 0, 'RateQualifier': 30, 'RatePrice': 15, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
10701east,嘉義中山停車場,平面式小型停車場29格,"[{'RateName': '平日', 'RateDescription': '平日：20元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 20, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 1, 'Tuesday': 1, 'Wednesday': 1, 'Thursday': 1, 'Friday': 1, 'Saturday': 0, 'Sunday': 0, 'NationalHolidays': 0}}, {'RateName': '假日', 'RateDescription': '假日：30元/0.5hr', 'RestrictionUserType': 0, 'SpaceType': 1, 'RateQualifier': 30, 'RatePrice': 30, 'MinHalfHourCharge': 1, 'StartTime': '00:00', 'EndTime': '23:59', 'ServiceDay': {'Monday': 0, 'Tuesday': 0, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 1, 'Sunday': 1, 'NationalHolidays': 1}}]"
