CarParkID,CarParkName_Zh_tw,OpeningHours_ServiceDay_ServiceTag,OpeningHours_ServiceDay_Monday,OpeningHours_ServiceDay_Tuesday,OpeningHours_ServiceDay_Wednesday,OpeningHours_ServiceDay_Thursday,OpeningHours_ServiceDay_Friday,OpeningHours_ServiceDay_Saturday,OpeningHours_ServiceDay_Sunday,OpeningHours_ServiceDay_NationalHolidays,OpeningHours_Description,OpeningHours_StartTime,OpeningHours_EndTime,OpeningHours_FreeOfCharge
10912east,嘉義東市停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909,市府大樓地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10816,停14(蘭停八)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10918,新民二站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11006A,西市場忠義街停車場,全年適用,1,1,1,0,1,1,1,1,全日,00:00,23:59,0
Cityparking1,嘉義成仁站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10902east,檜村里(機6)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10820,民族國小地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10814,大同國小(西榮街)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10721,中正公園地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10915,轉運中心地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10906,垂楊國小地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10818,嘉義延平停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10504,文化公園(停6)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10701east,嘉義中山停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909A,市府前廣場停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
DuDuhouse,吳鳳民族站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11010,嘉義蘭井街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10904Aeast,新生路停車場民族站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11006,西市場大樓停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10802,嘉義中興停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909B,舊市公所停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10801east,博物館地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10819,中央廣場地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10817,停10(蘭停七)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10810,北港路(停9)停車場,全年適用,1,1,1,1,0,1,1,1,全日,00:00,23:59,0
11017,金財神停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10808,火車站前停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10904east,新生路停車場民國站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10904,德安停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
STO002,停一停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
DS01,東石鄉港口宮停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P05,五都停車場嘉義站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi02,廣停六停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
DL01,明和休閒公園旁公有免費停車場(停一),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P16,助安168嘉義高鐵站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
XT01,新港停一立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P06,布袋港旅客服務中心停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
BD02,公有免費停車場（布袋文創對面停車場）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
Cyhg07,朴子配天宮公有停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P02,強展金世界停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
DL02,大林後火車站公有免費停車場(停二),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
