CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
10909,市府大樓地下停車場,261,1,0,0,261,4
10814,大同國小(西榮街)停車場,18,1,0,0,18,4
10904Aeast,新生路停車場民族站,139,1,0,0,139,4
10801east,博物館地下停車場,75,1,0,0,75,4
10721,中正公園地下停車場,129,1,0,0,129,254
DuDuhouse,吳鳳民族站,68,1,0,0,68,4
10912east,嘉義東市停車場,48,1,1,0,48,4
10820,民族國小地下停車場,199,1,0,0,199,4
10808,火車站前停車場,98,1,0,0,98,254
10701east,嘉義中山停車場,29,1,0,0,29,4
11006,西市場大樓停車場,124,1,0,0,124,254
10909A,市府前廣場停車場,261,1,0,0,261,4
10817,停10(蘭停七)停車場,36,1,0,0,36,4
10504,文化公園(停6)停車場,151,1,0,0,151,254
10904,德安停車場,67,1,0,0,67,4
10904east,新生路停車場民國站,411,1,0,0,411,4
11017,金財神停車場,104,1,0,0,104,4
10902east,檜村里(機6)停車場,134,1,0,0,134,4
10818,嘉義延平停車場,120,1,0,0,120,4
10810,北港路(停9)停車場,39,1,0,0,39,254
11006A,西市場忠義街停車場,74,1,0,0,74,4
10915,轉運中心地下停車場,68,1,0,0,68,4
10909B,舊市公所停車場,120,1,0,0,120,4
Cityparking1,嘉義成仁站停車場,68,1,0,0,68,4
10906,垂楊國小地下停車場,201,1,0,0,201,4
10819,中央廣場地下停車場,130,1,0,0,130,4
10802,嘉義中興停車場,65,1,0,0,65,4
11010,嘉義蘭井街停車場,55,1,0,0,55,4
10918,新民二站停車場,39,1,0,0,39,4
10816,停14(蘭停八)停車場,45,1,0,0,45,4
XT01,新港停一立體停車場,371,1,0,0,371,4
Puzi01,廣停二停車場,35,1,0,0,35,4
Puzi06,廣停四停車場,21,1,0,0,21,4
STO004,水上鄉停（三）停車場,17,1,0,0,17,254
P02,強展金世界停車場,95,1,0,0,95,1
P05,五都停車場嘉義站,187,1,0,0,187,254
P16,助安168嘉義高鐵站,129,1,0,0,129,4
MS0001,梅山公園停車場,57,1,0,0,57,4
DL01,明和休閒公園旁公有免費停車場(停一),10,1,0,0,10,4
STO003,停二停車場,13,1,0,0,13,254
Puzi07,嘉義縣朴子市第一公有零售市場地下室停車場,110,1,0,0,110,2
MS01,民雄鄉公有臨時停車場,180,1,0,0,180,4
P12,嘉義長庚醫院停車場(西側),1110,1,0,0,1110,4
P03,嘉義二停車場,121,1,0,0,121,254
P14,嘟嘟房嘉義朴子站,37,1,0,0,37,2
Puzi03,廣停三停車場,11,1,0,0,11,4
P18,廉增停車場故宮南院站,841,2,0,0,288,4
ZPFA01,中埔鄉農會停車場,45,1,0,0,45,2
CYHG05,快捷停車場,159,1,0,0,159,4
P21,快樂停車場,77,2,0,0,64,4
P11,嘉義長庚醫院停車場（東北側）,169,1,0,0,169,4
0001CYHG,朴子醫院停車場,69,1,0,0,69,2
P22,佛教大林慈濟醫院停車場,505,1,0,0,505,4
P01,強展嘉大民雄校區停車場,69,1,0,0,69,4
LJ03,六腳鄉公所公有停車場,40,1,0,0,40,4
P10,嘉義長庚醫院停車場（綜合醫學大樓）,602,1,0,0,602,4
P07,布袋港第二停車場,242,1,0,0,242,254
MS0002,雲梯接駁停車場,50,1,0,0,50,4
P04,五都停車場高鐵嘉義二站,799,1,0,0,799,254
STO001,機一停車場,30,1,0,0,30,254
DS01,東石鄉港口宮停車場,472,0,0,0,472,4
P17,好庭車停車場,420,2,0,0,130,254
DL02,大林後火車站公有免費停車場(停二),53,1,0,0,53,4
Cyhg01,公有免費停車場（仁和二路、小槺榔三路）,94,1,0,0,94,4
P09,嘉義長庚醫院停車場（醫學大樓）,306,1,0,0,306,4
P19,嘟嘟房新港奉天宮站停車場,25,1,0,0,25,4
P06,布袋港旅客服務中心停車場,644,1,0,0,644,254
P20,樟腦寮月香停車場,21,1,0,0,21,4
Cyhg07,朴子配天宮公有停車場,70,0,0,0,70,4
P13,嘟嘟房嘉義大同站,13,1,0,0,13,2
BD01,公有免費停車場（岑海里舊派出所旁停車場）,109,1,0,0,109,4
CYHG02,創新地下停車場,276,0,0,0,276,3
DL03,大林體育運動公園前公有免費停車場(停三),24,1,0,0,24,4
