CarParkID,CarParkName_Zh_tw,SpotAvailabilities
KEE11101,信二停車場,"[{'ParkingSpotID': '001', 'SpaceType': 0, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:07+08:00'}]"
KEE11102,正濱國小收費立體停車場,"[{'ParkingSpotID': 'TPE-001', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'Remark': '無', 'DataCollectTime': '2021-08-23T13:42:40+08:00'}]"
KEE11104,中正區行政大樓地下停車場,"[{'ParkingSpotID': 'TPE-001', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 2, 'DeviceStatus': 1, 'Floor': 'B1', 'ChargeStatus': 1, 'Remark': '無', 'DataCollectTime': '2021-08-23T13:39:42+08:00'}]"
KEE11106,海洋劇場停車場,"[{'ParkingSpotID': 'KEE11106-001', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'Remark': '本區有297車位', 'DataCollectTime': '2022-06-09T17:29:08+08:00'}]"
KEE11201,信義國中停車場,"[{'ParkingSpotID': '001', 'SpaceType': 0, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:02+08:00'}]"
KEE11205,中興國小停車場,"[{'ParkingSpotID': 'KEE11205', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 255, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:10+08:00'}]"
KEE11301,博愛國宅地下室停車場,"[{'ParkingSpotID': '1-141', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': 'B2', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:00+08:00'}, {'ParkingSpotID': '1-92', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': 'B1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:00+08:00'}, {'ParkingSpotID': 'A-T', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': 'B1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:40:00+08:00'}]"
KEE11302,基隆成功站,"[{'ParkingSpotID': 'KEE-03-12', 'SpaceType': 255, 'ServiceStatus': 1, 'SpotStatus': 2, 'DeviceStatus': 1, 'Floor': '12', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:39:42+08:00'}]"
KEE11303,南榮公墓殯儀館停車場,"[{'ParkingSpotID': 'KEE11303', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 255, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'DataCollectTime': '2023-11-19T20:39:50+08:00'}]"
KEE11304,銘傳立體停車場,"[{'ParkingSpotID': 'TOWER-1', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'Remark': '本區有40車位', 'DataCollectTime': '2021-07-18T11:26:00+08:00'}, {'ParkingSpotID': 'TOWER-2', 'SpaceType': 1, 'ServiceStatus': 2, 'SpotStatus': 2, 'DeviceStatus': 0, 'Floor': '1', 'ChargeStatus': 2, 'Remark': '本區故障待修', 'DataCollectTime': '2021-07-18T11:26:00+08:00'}, {'ParkingSpotID': 'TOWER-3', 'SpaceType': 1, 'ServiceStatus': 1, 'SpotStatus': 1, 'DeviceStatus': 1, 'Floor': '1', 'ChargeStatus': 1, 'Remark': '本區有40車位', 'DataCollectTime': '2021-07-18T11:26:00+08:00'}]"
