CarParkID,CarParkName_Zh_tw,SpotAvailabilities_ParkingSpotID,SpotAvailabilities_SpaceType,SpotAvailabilities_ServiceStatus,SpotAvailabilities_SpotStatus,SpotAvailabilities_DeviceStatus,SpotAvailabilities_Floor,SpotAvailabilities_ChargeStatus,SpotAvailabilities_DataCollectTime
KEE11101,信二停車場,001,0,1,1,1,1,1,2023-11-19T20:40:07+08:00
KEE11102,正濱國小收費立體停車場,TPE-001,1,1,1,1,1,1,2021-08-23T13:42:40+08:00
KEE11104,中正區行政大樓地下停車場,TPE-001,1,1,2,1,B1,1,2021-08-23T13:39:42+08:00
KEE11106,海洋劇場停車場,KEE11106-001,1,1,1,1,1,1,2022-06-09T17:29:08+08:00
KEE11201,信義國中停車場,001,0,1,1,1,1,1,2023-11-19T20:40:02+08:00
KEE11205,中興國小停車場,KEE11205,1,1,255,1,1,1,2023-11-19T20:40:10+08:00
KEE11301,博愛國宅地下室停車場,A-T,1,1,1,1,B1,1,2023-11-19T20:40:00+08:00
KEE11302,基隆成功站,KEE-03-12,255,1,2,1,12,1,2023-11-19T20:39:42+08:00
KEE11303,南榮公墓殯儀館停車場,KEE11303,1,1,255,1,1,1,2023-11-19T20:39:50+08:00
KEE11304,銘傳立體停車場,TOWER-3,1,1,1,1,1,1,2021-07-18T11:26:00+08:00
KEE11305,東岸立體停車場,001,0,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE11307,信義國小地下停車場,251-257,7,1,1,1,B1,1,2023-11-19T20:40:00+08:00
KEE11701,百福立體停車場,1-93,1,1,1,1,6,1,2023-11-19T20:40:00+08:00
KEE11703,基隆七堵停車場,109002-002,1,1,1,1,1,1,2021-10-11T05:46:42+08:00
KEE12103,義二路停車場,001,0,1,1,1,1,1,2023-11-19T20:33:23+08:00
KEE12105,基隆和平島公園停車場,64,1,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE12107,區域探索館平面停車場,KEE12107-001,1,1,1,1,1,1,2022-06-09T17:29:08+08:00
KEE12108,復育環保公園停車場,KEE12108-001,1,1,1,1,1,1,2022-06-09T17:29:08+08:00
KEE12109,濱海遊憩區停車場,KEE-060,1,1,255,1,1,1,2022-04-29T14:26:09+08:00
KEE12110,潮境公園停車場,KEE12110-001,1,1,1,1,1,1,2022-06-09T17:29:08+08:00
KEE12111,65高地停車場,KEE-033,1,1,255,1,1,1,2022-04-29T15:10:52+08:00
KEE12112,南區大客車停車場,KEE12112-001,5,1,1,1,1,1,2022-06-09T17:29:08+08:00
KEE12113,基隆和一停車場,無,1,1,1,1,平面,1,2023-11-19T20:40:00+08:00
KEE12114,八斗子觀光漁港停車場,KEE12114,1,1,255,1,1,1,2023-11-17T04:32:54+08:00
KEE12115,八斗子漁港C區停車場,KEE12115,1,1,255,1,1,1,2022-05-31T11:28:04+08:00
KEE12117,基隆社寮橋停車場,1-50,1,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE12202,基隆信義停車場,001,0,1,1,1,1,1,2023-11-19T20:39:37+08:00
KEE12203,基隆六合停車場,109002-002,1,1,1,1,1,1,2022-01-13T09:57:46+08:00
KEE12306,仁愛獅球停車場,136,0,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE12401,基隆市中和路168巷停車場,KEE-0000,1,1,2,1,1,1,2023-11-19T20:39:01+08:00
KEE12501,鶯歌石溪停車場,KEE-0000,1,1,2,1,1,1,2023-11-19T20:35:54+08:00
KEE12502,基隆安和停車場,KEE-044,1,1,255,1,1,1,2022-04-29T14:32:41+08:00
KEE12503,麥金停車場,001,0,1,1,1,1,1,2023-01-15T10:26:42+00:00
KEE12601,源遠路停車場,001,0,1,1,1,1,1,2023-11-19T20:39:26+00:00
KEE12602,源遠路第二停車場,001,0,1,1,1,1,1,2023-11-19T20:39:24+00:00
KEE12704,崇孝街停車場,001,0,1,1,1,1,1,2023-11-19T20:37:54+08:00
KEE12705,光明停一停車場,KEE-0000,1,1,2,1,1,1,2023-11-19T20:37:18+08:00
KEE12706,光明停二停車場,KEE-0000,1,1,2,1,1,1,2023-11-19T20:35:50+08:00
KEE12707,福六街停車場,KEE-0000,1,1,2,1,1,1,2023-11-19T20:37:57+08:00
KEE21201,基隆皇冠停車場,001,0,1,1,1,1,1,2023-11-19T20:40:08+08:00
KEE22112,基隆八尺門停車場,無,1,1,1,1,平面,1,2023-07-31T10:49:30+08:00
KEE22409,基隆青鳥停車場,1,1,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE22410,基隆新橫濱停車場,1-166,1,1,1,1,1,1,2023-11-19T20:40:00+08:00
KEE22411,東三四平面停車場,001,0,1,1,1,1,1,2023-11-19T20:39:37+08:00
