OperatorID,OperatorName_Zh_tw,Telephone,Email,Address,BAN
CYI28371994,寶盛國際股份有限公司,,,,28371994
CYI70369154,俥亭停車事業股份有限公司,,,,70369154
CYI12745271,竑穗興業股份有限公司,,,,12745271
CYQ25147332,五都停車場股份有限公司,,,,25147332
CYQ20193390,臺灣港務股份有限公司,,,,20193390
CYQ66599197,衛生福利部朴子醫院,,,,66599197
CYQ67501806,朴子市公所,,,,67501806
CYQ62981989,樟腦寮月香停車場,,,,62981989
CYQ67500406,太保市公所,,,,67500406
CYQ10801058,快樂停車場,,,,10801058
CYQ21930282,嘉義縣表演藝術中心,,,,21930282
CYQ67500709,布袋鎮公所,,,,67500709
CYQ66004908,竹崎鄉公所,,,,66004908
CYQ25798094,長庚醫療財團法人嘉義長庚紀念醫院,,,,25798094
CYQ33029464,中興電工機械股份有限公司,,,,33029464
CYQ66009100,新港鄉公所,,,,66009100
CYQ66007601,梅山鄉公所,,,,66007601
CYQ66015102,嘉義縣政府,,,,66015102
CYQ67500102,六腳鄉公所,,,,67500102
CYQ66005603,阿里山鄉公所,,,,66005603
CYQ80444147,好庭車企業有限公司,,,,80444147
CYQ28053301,強展汽車股份有限公司,,,,28053301
CYQ66643216,民雄鄉公所,,,,66643216
CYQ83583277,廉增股份有限公司,,,,83583277
CYQ97317757,詮營股份有限公司,,,,97317757
CYQ99571620,中埔鄉農會,,,,99571620
CYQ67503608,鹿草鄉公所,,,,67503608
CYQ66643222,大埔鄉公所,,,,66643222
CYQ66008600,番路鄉公所,,,,66008600
CYQ67504705,義竹鄉公所,,,,67504705
CYQ97329493,助安企業有限公司,,,,97329493
CYQ12810504,文昌有限公司,,,,12810504
CYQ80738683,台灣國際開發事業有限公司,,,,80738683
CYQ99209712,交通部觀光局雲嘉南濱海國家風景區管理處,,,,99209712
CYQ12745271,竑穗興業有限公司,,,,12745271
CYQ67502903,東石鄉公所,,,,67502903
CYQ66000109,大林鎮公所,,,,66000109
CYQ66001509,中埔鄉公所,,,,66001509
CYQ66013300,水上鄉公所,,,,66013300
